matrix_size,iteration_norm,error_delta_normed,duration,error_time
1000,0.016,0.00103555429917,0.003963,0.261305652074
1000,0.017,0.0011242274493,0.003291,0.341606639106
1000,0.018,0.000965717270174,0.00319,0.302732686575
1000,0.019,0.00104205461872,0.003732,0.279221494835
1000,0.02,0.00111886060471,0.004283,0.26123292195
1000,0.021,0.00098112984345,0.003869,0.253587449845
1000,0.022,0.00104863051519,0.003699,0.283490271747
1000,0.023,0.00111654824481,0.004045,0.276031704526
1000,0.024,0.00099464670782,0.004592,0.216604248219
1000,0.025,0.0010552855141,0.004445,0.237409564476
1000,0.026,0.00111630127919,0.006623,0.168549189067
1000,0.027,0.00100686281857,0.006341,0.158786124991
1000,0.028,0.00106202238968,0.004457,0.238281891335
1000,0.029,0.00111752689036,0.004706,0.237468527488
1000,0.03,0.00101815739959,0.004713,0.216031699467
1000,0.031,0.00106884352556,0.005238,0.204055655893
1000,0.032,0.00111984844146,0.004969,0.225366963465
1000,0.033,0.0010287838476,0.005155,0.199570096528
1000,0.034,0.00107575109579,0.005621,0.191380732217
1000,0.035,0.00112301542514,0.007274,0.154387603126
1000,0.036,0.00103891814364,0.007712,0.13471448958
1000,0.037,0.00108274716297,0.006111,0.177180029941
1000,0.038,0.00112685497281,0.005801,0.194251848442
1000,0.039,0.00104868651767,0.00607,0.172765488908
1000,0.04,0.00108983373496,0.006438,0.1692814127
1000,0.041,0.00113124414516,0.006343,0.178345285379
1000,0.042,0.00105818204822,0.006728,0.157280328213
1000,0.043,0.0010970127996,0.008517,0.128802723917
1000,0.044,0.00113609330653,0.008811,0.128940336685
1000,0.045,0.00106747503782,0.007471,0.142882483981
1000,0.046,0.00110428634692,0.00773,0.142857224698
1000,0.047,0.00114133573428,0.007355,0.155178209963
1000,0.048,0.00107661972718,0.008089,0.133096764394
1000,0.049,0.00111165638417,0.010398,0.10691059667
1000,0.05,0.0011469208958,0.009128,0.125648652037
1000,0.051,0.00108565877193,0.00793,0.136905267582
1000,0.052,0.00111912494648,0.008559,0.130754170636
1000,0.053,0.00115280996713,0.0086,0.134047670597
1000,0.054,0.00109462630621,0.01034,0.105863279131
1000,0.055,0.00112669410462,0.011147,0.101075993955
1000,0.056,0.00115897276724,0.00923,0.125565846938
1000,0.057,0.00110355008787,0.0099,0.111469705845
1000,0.058,0.00113436597116,0.009758,0.116249843325
1000,0.059,0.00116538561258,0.0119,0.0979315640821
1000,0.06,0.00111245303122,0.011808,0.0942118081991
1000,0.061,0.00114214270538,0.010413,0.109684308593
1000,0.062,0.00117202978523,0.010925,0.107279614209
1000,0.063,0.00112135432243,0.01117,0.100389822957
1000,0.064,0.00115002651742,0.014557,0.0790016155404
1000,0.065,0.0011788904194,0.012715,0.0927165095874
1000,0.066,0.00113027024452,0.012338,0.0916088705234
1000,0.067,0.00115801967199,0.014611,0.0792567019364
1000,0.068,0.00118595567899,0.014306,0.0828991806925
1000,0.069,0.00113921479665,0.012506,0.0910934588717
1000,0.07,0.00116612449171,0.013015,0.0895985010916
1000,0.071,0.00119321614132,0.015541,0.0767785947702
1000,0.072,0.00114820016542,0.014849,0.0773250835354
1000,0.073,0.00117434336023,0.014165,0.0829045789081
1000,0.074,0.00120066432949,0.015345,0.0782446614197
1000,0.075,0.00115723708795,0.016628,0.0695956872717
1000,0.076,0.00118267872531,0.01477,0.0800730348887
1000,0.077,0.00120829435308,0.015443,0.0782422037869
1000,0.078,0.00116633513495,0.018554,0.0628616543577
1000,0.079,0.00119113310169,0.015742,0.0756659320094
1000,0.08,0.00121610162952,0.016418,0.0740712406819
1000,0.081,0.00117550293365,0.018644,0.0630499320773
1000,0.082,0.00119970907413,0.017099,0.0701625284597
1000,0.083,0.0012240826656,0.019405,0.0630807866838
1000,0.084,0.00118474834527,0.018278,0.0648182703399
1000,0.085,0.0012084093003,0.017899,0.0675126711157
1000,0.086,0.00123223488498,0.022721,0.0542333033308
1000,0.087,0.00119407860765,0.018784,0.0635689207652
1000,0.088,0.00121723651381,0.02179,0.0558621621756
1000,0.089,0.00124055649073,0.02088,0.059413625035
1000,0.09,0.00120350045085,0.020579,0.0584819695248
1000,0.091,0.00122619352727,0.022607,0.0542395509032
1000,0.092,0.00124904635521,0.019784,0.0631341667615
1000,0.093,0.00121302019175,0.022598,0.0536782100961
1000,0.094,0.00123528323547,0.020414,0.0605115722285
1000,0.095,0.00125770393121,0.022602,0.0556456920276
1000,0.096,0.00122264381213,0.02271,0.0538372440393
1000,0.097,0.00124450861862,0.023004,0.0540996617378
1000,0.098,0.00126652917998,0.023476,0.0539499565506
1000,0.099,0.00123237702362,0.022249,0.0553902208469
1000,0.1,0.00125387274569,0.025388,0.0493884018311
1000,0.101,0.00127552251265,0.022833,0.0558631153439
1000,0.102,0.00124222532222,0.028246,0.0439788048652
1000,0.103,0.00126337877795,0.02438,0.0518202944196
1000,0.104,0.00128468474236,0.027543,0.0466428763156
1000,0.105,0.00125219403443,0.025373,0.0493514379234
1000,0.106,0.00127302997259,0.0269,0.0473245342968
1000,0.107,0.00129401704519,0.028486,0.0454264215823
1000,0.108,0.00126228835665,0.029192,0.0432409001318
1000,0.109,0.00128282968647,0.029861,0.0429600377238
1000,0.11,0.00130352092811,0.026473,0.0492396376727
1000,0.111,0.00127251338906,0.030291,0.0420096196579
1000,0.112,0.00129278138013,0.028218,0.0458140683297
1000,0.113,0.00131319820277,0.029258,0.044883389253
1000,0.114,0.00128287416511,0.031557,0.0406526021204
1000,0.115,0.00130288862183,0.028763,0.0452973828123
1000,0.116,0.00132305096414,0.032626,0.0405520432828
1000,0.117,0.00129337567734,0.031171,0.0414929157658
1000,0.118,0.00131315509192,0.031947,0.0411041754131
1000,0.119,0.00133308157321,0.032796,0.0406476879256
1000,0.12,0.0013040229002,0.031788,0.0410224896249
1000,0.121,0.0013235845873,0.032247,0.0410452007103
1000,0.122,0.00134329264292,0.033522,0.0400719719266
1000,0.123,0.00131482081052,0.033194,0.0396101949304
1000,0.124,0.00133418102614,0.034255,0.0389485046311
1000,0.125,0.00135368702717,0.038709,0.0349708601919
1000,0.126,0.00132577440594,0.036297,0.0365257295629
1000,0.127,0.0013449484528,0.032888,0.0408948082218
1000,0.128,0.00136426781207,0.033254,0.0410256754696
1000,0.129,0.00133688872172,0.032827,0.0407252786341
1000,0.13,0.00135589104301,0.030382,0.0446281035812
1000,0.131,0.00137503830944,0.033332,0.0412527993952
1000,0.132,0.00134816884623,0.033469,0.0402811212234
1000,0.133,0.00136701310927,0.033137,0.0412533756608
1000,0.134,0.00138600205209,0.034965,0.0396396983295
1000,0.135,0.00135961993536,0.036397,0.0373552747578
1000,0.136,0.00137831910656,0.035146,0.0392169551744
1000,0.137,0.00139716279068,0.037083,0.0376766386397
1000,0.138,0.00137124722614,0.037874,0.0362055031456
1000,0.139,0.00138981363826,0.036924,0.0376398450401
1000,0.14,0.00140852449203,0.036503,0.038586540614
1000,0.141,0.00138305604958,0.039023,0.0354420738943
1000,0.142,0.00140150146244,0.039463,0.0355143162567
1000,0.143,0.00142009133875,0.03867,0.0367233343353
1000,0.144,0.00139505184309,0.038346,0.0363806353488
1000,0.145,0.00141338749841,0.044151,0.0320125817855
1000,0.146,0.00143186772991,0.040973,0.0349466167943
1000,0.147,0.00140724016244,0.040145,0.0350539335518
1000,0.148,0.00142547683367,0.042766,0.0333320121983
1000,0.149,0.00144385828292,0.041294,0.0349653286898
1000,0.15,0.00141962669352,0.042455,0.0334383863742
1000,0.151,0.00143777473114,0.040738,0.0352932085803
1000,0.152,0.00145606783623,0.043778,0.0332602639735
1000,0.153,0.00143221726387,0.045764,0.0312957185533
1000,0.154,0.00145028663682,0.043447,0.0333805932934
1000,0.155,0.00146850145311,0.044604,0.0329230888062
1000,0.156,0.00144501785424,0.044332,0.0325953680015
1000,0.157,0.00146301818783,0.044602,0.0328016274568
1000,0.158,0.00148116442617,0.044634,0.0331846669842
1000,0.159,0.00145803461002,0.047473,0.0307129233464
1000,0.16,0.00147597522089,0.044307,0.0333124612565
1000,0.161,0.00149406228281,0.046938,0.0318305484428
1000,0.162,0.00147127385291,0.047628,0.0308909434138
1000,0.163,0.00148916378125,0.046493,0.0320298492515
1000,0.164,0.00150720079143,0.044209,0.03409262348
1000,0.165,0.00148474209267,0.044211,0.0335830922773
1000,0.166,0.00150259013208,0.048972,0.0306826376722
1000,0.167,0.00152058596848,0.047153,0.032247915689
1000,0.168,0.00149844603911,0.051339,0.0291872852824
1000,0.169,0.00151626076441,0.046869,0.0323510372403
1000,0.17,0.0015342240863,0.047427,0.032349170015
1000,0.171,0.00151239261441,0.047871,0.0315930858851
1000,0.172,0.00153018240759,0.047248,0.0323861837027
1000,0.173,0.00154812168173,0.048569,0.0318746871816
1000,0.174,0.00152658896575,0.048925,0.0312026359887
1000,0.175,0.0015443620403,0.051233,0.030143892419
1000,0.176,0.00156228556552,0.051676,0.0302323238161
1000,0.177,0.00154104247842,0.049665,0.0310287421408
1000,0.178,0.0015588069023,0.050828,0.0306682714705
1000,0.179,0.00157672283266,0.052133,0.0302442374822
1000,0.18,0.00155576078937,0.052469,0.0296510470825
1000,0.181,0.00157352450669,0.05315,0.0296053529009
1000,0.182,0.00159144087338,0.055846,0.0284969536471
1000,0.183,0.00157075180129,0.05289,0.0296984647626
1000,0.184,0.00158852265293,0.053814,0.0295187619008
1000,0.185,0.00160644738517,0.056528,0.0284186135219
1000,0.186,0.00158602369735,0.054631,0.0290315699392
1000,0.187,0.0016038094407,0.056603,0.0283343540218
1000,0.188,0.00162175038561,0.059276,0.0273593087525
1000,0.189,0.00160158495654,0.058009,0.0276092495396
1000,0.19,0.0016193932844,0.059634,0.0271555368482
1000,0.191,0.00163735822621,0.060377,0.0271189066401
1000,0.192,0.00161744436983,0.056761,0.0284956989805
1000,0.193,0.00163528292868,0.056166,0.0291151751714
1000,0.194,0.00165327960713,0.060894,0.027150123282
1000,0.195,0.00163361105706,0.058262,0.0280390487291
1000,0.196,0.00165148746471,0.057493,0.028725018084
1000,0.197,0.00166952359306,0.056905,0.0293387855734
1000,0.198,0.0016500944847,0.060211,0.0274051997923
